question,answer,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"Markus is twice the age of his son, and Markus's son is twice the age of Markus's grandson.  If the sum of the ages of Markus, his son, and his grandson is 140 years, then how many years old is Markus's grandson?","Let ""x"" be the age of Markus's grandson.
If Markus's son is twice the age of Markus's grandson, then Markus's son is 2*x.
If Markus is twice the age of his son, then Markus is 2*2*x.
Therefore, if the sum of the ages of Markus, his son, and his grandson is 140 years, then x+(2*x)+(2*2*x)=140 years.
Simplifying the equation, we see that 7*x=140 years.
Therefore, the age of Markus's grandson is x=20 years old.
#### 20","Question: Markus is twice the age of his son, and Markus's son is twice the age of Markus's grandson.  If the sum of the ages of Markus, his son, and his grandson is 140 years, then how many years old is Markus's grandson?","A)
Question: Markus is double the age of his offspring, and Markus's offspring is double the age of Markus's grandchild. If the total of the ages of Markus, his offspring, and his grandchild is 140 years, then how many years old is Markus's grandchild?

B)
Question: Markus is two times older than his child, and Markus's child is two times older than Markus's grandson. If the cumulative ages of Markus, his child, and his grandson come to 140 years, then how many years old is Markus's grandson?

C)
Question: Markus is twice as old as his descendant, and Markus's descendant is twice as old as Markus's grandkid. If the addition of the ages of Markus, his descendant, and his grandkid equals 140 years, then how many years old is Markus's grandkid?

D)
Question: Markus is twice the age of his progeny, and Markus's progeny is twice the age of Markus's grandchild. If the aggregate of the ages of Markus, his progeny, and his grandchild is 140 years, then how many years old is Markus's grandchild?","Question: Markus is double the age of his offspring, and Markus's offspring is double the age of Markus's grandchild. If the total of the ages of Markus, his offspring, and his grandchild is 140 years, then how many years old is Markus's grandchild?","Question: Markus is two times older than his child, and Markus's child is two times older than Markus's grandson. If the cumulative ages of Markus, his child, and his grandson come to 140 years, then how many years old is Markus's grandson?","Question: Markus is twice as old as his descendant, and Markus's descendant is twice as old as Markus's grandkid. If the addition of the ages of Markus, his descendant, and his grandkid equals 140 years, then how many years old is Markus's grandkid?","Question: Markus is twice the age of his progeny, and Markus's progeny is twice the age of Markus's grandchild. If the aggregate of the ages of Markus, his progeny, and his grandchild is 140 years, then how many years old is Markus's grandchild?",E,B,C,D
"When Betty makes cheesecake, she sweetens it with a ratio of one part sugar to four parts cream cheese, and she flavors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she uses two eggs. She used two cups of sugar in her latest cheesecake. How many eggs did she use?","Betty used 2 cups of sugar in her cheesecake, so she used 2 * 1 = <<2*1=2>>2 times her ratio.
Thus, she used 2 * 4 = <<2*4=8>>8 cups of cream cheese.
She uses 1 teaspoon of vanilla for 2 cups of cream cheese, so she used 8 / 2 = 4 teaspoons of vanilla.
For each teaspoon of vanilla, she uses 2 eggs, so she used 2 * 4 = <<2*4=8>>8 eggs.
#### 8","Question: When Betty makes cheesecake, she sweetens it with a ratio of one part sugar to four parts cream cheese, and she flavors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she uses two eggs. She used two cups of sugar in her latest cheesecake. How many eggs did she use?","A)
Question: While preparing cheesecake, Betty sweetens it, employing a proportion of one part sugar to four parts cream cheese, and she seasons it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she utilizes two eggs. She expended two cups of sugar in her recent cheesecake. How many eggs did she employ?

B)
Question: During cheesecake preparation, Betty sugars it according to a proportion of one part sugar to four parts of cream cheese, and she enhances it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she incorporates two eggs. She deployed two cups of sugar in her latest cheesecake. How many eggs did she incorporate?

C)
Question: In her cheesecake making, Betty flavors it utilizing a proportion of one part sugar to four parts cream cheese, and she colors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she includes two eggs. She applied two cups of sugar in her recent cheesecake. How many eggs did she tap into?

D)
Question: When concocting cheesecake, Betty enriches it with a ratio of one part sugar to four parts cream cheese, and she infuses it with one teaspoon of vanilla for every two cups of cream cheese. For each one teaspoon of vanilla, she calls for two eggs. She utilized two cups of sugar in her current cheesecake. How many eggs did she requisition?","Question: While preparing cheesecake, Betty sweetens it, employing a proportion of one part sugar to four parts cream cheese, and she seasons it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she utilizes two eggs. She expended two cups of sugar in her recent cheesecake. How many eggs did she employ?","Question: During cheesecake preparation, Betty sugars it according to a proportion of one part sugar to four parts of cream cheese, and she enhances it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she incorporates two eggs. She deployed two cups of sugar in her latest cheesecake. How many eggs did she incorporate?","Question: In her cheesecake making, Betty flavors it utilizing a proportion of one part sugar to four parts cream cheese, and she colors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she includes two eggs. She applied two cups of sugar in her recent cheesecake. How many eggs did she tap into?","Question: When concocting cheesecake, Betty enriches it with a ratio of one part sugar to four parts cream cheese, and she infuses it with one teaspoon of vanilla for every two cups of cream cheese. For each one teaspoon of vanilla, she calls for two eggs. She utilized two cups of sugar in her current cheesecake. How many eggs did she requisition?",A,B,C,D
"A florist offers for sale 75 narcissus flowers and 90 chrysanthemums. Using all the flowers, how many bouquets containing 5 flowers each can he make?","The florist can make 75/5 = <<75/5=15>>15 bouquets of narcissus.
The florist can make 90/5 = <<90/5=18>>18 bouquets of chrysanthemums.
The florist can make 15 +18 = <<15+18=33>>33 bouquets in total.
#### 33","Question: A florist offers for sale 75 narcissus flowers and 90 chrysanthemums. Using all the flowers, how many bouquets containing 5 flowers each can he make?","A)
Question: A flowershop vendor presents 75 daffodils and 90 daisies for purchase. Utilizing all the flowers, how many arrangements with 5 flowers each can he produce?

B)
Question: A flower dealer displays 75 narcissi and 90 mums for trade. Using every flower, how many flower bunches with 5 flowers per group can he assemble?

C)
Question: A bloom merchant proposes 75 jonquils and 90 golden-daisies for acquisition. With all the flowers at his disposal, how many posies consisting of 5 flowers each can he concoct?

D)
Question: A botanical seller exhibits 75 asphodels and 90 asters for transaction. Capitalizing on all the flowers, how many floral collections of 5 flowers each can he construct?","Question: A flowershop vendor presents 75 daffodils and 90 daisies for purchase. Utilizing all the flowers, how many arrangements with 5 flowers each can he produce?","Question: A flower dealer displays 75 narcissi and 90 mums for trade. Using every flower, how many flower bunches with 5 flowers per group can he assemble?","Question: A bloom merchant proposes 75 jonquils and 90 golden-daisies for acquisition. With all the flowers at his disposal, how many posies consisting of 5 flowers each can he concoct?","Question: A botanical seller exhibits 75 asphodels and 90 asters for transaction. Capitalizing on all the flowers, how many floral collections of 5 flowers each can he construct?",E,A,E,E
"Every week of last month Paul tried out a new cake recipe.  The first week, he followed a cake recipe that called for 24 cups of sugar. Each week after that, he reduced the amount of sugar by half. How much sugar did he use for the cake on the fourth week?","On the 2nd week, Paul halved the first week's sugar, therefore he used 24/2 = <<24/2=12>>12 cups
The third week, Paul used 12/2 = <<12/2=6>>6 cups
The fourth week, he used 6/2 = <<6/2=3>>3 cups
#### 3","Question: Every week of last month Paul tried out a new cake recipe.  The first week, he followed a cake recipe that called for 24 cups of sugar. Each week after that, he reduced the amount of sugar by half. How much sugar did he use for the cake on the fourth week?","A)
Question: Every week of the previous month Paul tested a new cake formula. The initial week, he adhered to a cake formula that needed 24 cups of sugar. Each succeeding week, he lessened the quantity of sugar by half. How much sugar did he utilize for the cake on the fourth week?

B)
Question: Each week of the past month Paul experimented with a new cake recipe. The first week, he complied with a cake recipe that demanded 24 cups of sugar. Each following week, he reduced the measure of sugar by half. How much sugar did he spend for the cake on the fourth week?

C)
Question: Every single week of the prior month Paul tried a new cake method. The opening week, he stuck to a cake method that asked for 24 cups of sugar. Each ensuing week, he diminished the sum of sugar by half. How much sugar did he apply for the cake on the fourth week?

D)
Question: Each week during the preceding month Paul attempted a new cake instruction. The initial week, he abided by a cake instruction that required 24 cups of sugar. Every week after, he lessened the quantity of sugar by half. How much sugar did he use for the cake on the fourth week?","Question: Every week of the previous month Paul tested a new cake formula. The initial week, he adhered to a cake formula that needed 24 cups of sugar. Each succeeding week, he lessened the quantity of sugar by half. How much sugar did he utilize for the cake on the fourth week?","Question: Each week of the past month Paul experimented with a new cake recipe. The first week, he complied with a cake recipe that demanded 24 cups of sugar. Each following week, he reduced the measure of sugar by half. How much sugar did he spend for the cake on the fourth week?","Question: Every single week of the prior month Paul tried a new cake method. The opening week, he stuck to a cake method that asked for 24 cups of sugar. Each ensuing week, he diminished the sum of sugar by half. How much sugar did he apply for the cake on the fourth week?","Question: Each week during the preceding month Paul attempted a new cake instruction. The initial week, he abided by a cake instruction that required 24 cups of sugar. Every week after, he lessened the quantity of sugar by half. How much sugar did he use for the cake on the fourth week?",E,B,C,D
"When Diane turns 30, she will be half the age of Alex and twice as old as Allison. Diane is 16 years old now. What is the sum of the ages of Alex and Allison now?","When Dianne turns 30, Alex will be 30 x 2 = <<30*2=60>>60 years old.
Allison will be 30/2 = <<30/2=15>>15 years old then.
Dianne will turn 30 in 30 - 16 = <<30-16=14>>14 years.
Currently, the age of Alex is 60 - 14 = <<60-14=46>>46.
Currently, Allison is 15 - 14 = <<15-14=1>>1 year old.
So, the sum of Alex and Allison's ages now is 46 + 1 = <<46+1=47>>47 years old.
#### 47","Question: When Diane turns 30, she will be half the age of Alex and twice as old as Allison. Diane is 16 years old now. What is the sum of the ages of Alex and Allison now?","A)
Question: When Diane becomes 30, she will be one-half the age of Alex and two times as old as Allison. Diane is presently 16 years old. What is the total of the ages of Alex and Allison at the present moment?

B)
Question: When Diane reaches 30, she'll be fifty percent as old as Alex and two times the age of Allison. Diane is currently 16 years old. What is the combined age of Alex and Allison now?

C)
Question: Once Diane hits 30, she's going to be half Alex's age and twice Allison's age. Diane is 16 years old at this time. What is the aggregate of Alex and Allison's ages right now?

D)
Question: The moment Diane turns 30, she will stand at half Alex's age and double Allison's age. Diane is sixteen years old as of now. What's the accumulated age of Alex and Allison now?","Question: When Diane becomes 30, she will be one-half the age of Alex and two times as old as Allison. Diane is presently 16 years old. What is the total of the ages of Alex and Allison at the present moment?","Question: When Diane reaches 30, she'll be fifty percent as old as Alex and two times the age of Allison. Diane is currently 16 years old. What is the combined age of Alex and Allison now?","Question: Once Diane hits 30, she's going to be half Alex's age and twice Allison's age. Diane is 16 years old at this time. What is the aggregate of Alex and Allison's ages right now?","Question: The moment Diane turns 30, she will stand at half Alex's age and double Allison's age. Diane is sixteen years old as of now. What's the accumulated age of Alex and Allison now?",A,B,C,D
Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,"Adam will teach 50 * 9 = <<50*9=450>>450 students in 9 years.
So, in 10 year Adam will teach 450 + 40 = <<450+40=490>>490 students.
#### 490",Question: Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,"A)
Question: Adam instructs 50 pupils annually. How many pupils will Adam instruct in 10 years if in the initial year he only instructs 40 pupils?

B)
Question: Adam trains 50 learners each year. How many learners will Adam train in 10 years if in the opening year he only trains 40 learners?

C)
Question: Adam educates 50 students per annum. How many students will Adam educate in 10 years if in the beginning year he only educates 40 students?

D)
Question: Adam guides 50 students yearly. How many students will Adam guide in 10 years if in the inaugural year he only guides 40 students?",Question: Adam instructs 50 pupils annually. How many pupils will Adam instruct in 10 years if in the initial year he only instructs 40 pupils?,Question: Adam trains 50 learners each year. How many learners will Adam train in 10 years if in the opening year he only trains 40 learners?,Question: Adam educates 50 students per annum. How many students will Adam educate in 10 years if in the beginning year he only educates 40 students?,Question: Adam guides 50 students yearly. How many students will Adam guide in 10 years if in the inaugural year he only guides 40 students?,E,E,C,D
"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?","Dad gave Olaf 10 toy cars,
Mom has given Olaf 5 more toy cars than Dad, so 10 + 5 = <<10+5=15>>15 toy cars
Auntie gave Olaf 6 toy cars,
Uncle has given 1 less toy than Auntie, so 6 - 1 = <<6-1=5>>5 toy cars
Grandpa gave Olaf 2 * 5 = <<2*5=10>>10 toy cars.
All the family together gave Olaf 10 +15 + 6 + 5 + 10 = <<10+15+6+5+10=46>>46.
Adding the cars Olaf already had, Olaf's collection has 150 + 46 = <<150+46=196>>196 cars.
#### 196","Question: Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?","A)
Question: Olaf gathers vibrant toy automobiles. Initially, his assemblage consisted of 150 automobiles. His family, understanding his pastime, chose to present him some toy automobiles. Granddad gifted Olaf twice as many toy cars as the uncle did. Father gifted Olaf 10 toy cars, 5 fewer than Mother. Aunt gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf possess in total, after obtaining all these presents?

B)
Question: Olaf amasses colorful toy vehicles. To begin with, his collection comprised of 150 vehicles. His family, aware of his hobby, decided to gift him some toy vehicles. Grandfather presented Olaf with twice as many toy cars as the uncle. Father presented Olaf with 10 toy cars, 5 less than Mum. Auntie presented Olaf with 6 toy cars, 1 more than the uncle. How many toy cars does Olaf own in total, after accepting all these gifts?

C)
Question: Olaf accumulates bright toy motorcars. At first, his collection amounted to 150 motorcars. His family, cognizant of his leisure activity, decided to bestow upon him some toy motorcars. Grandpapa granted Olaf twice as many toy cars as the uncle. Papa granted Olaf 10 toy cars, 5 fewer than Mom. Aunty granted Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these handouts?

D)
Question: Olaf collects vibrant toy machines. In the beginning, his assortment was made up of 150 machines. His family, recognising his hobby, decided to offer him some toy machines. Grandfather handed Olaf double the amount of toy cars the uncle did. Dad handed Olaf 10 toy cars, 5 fewer than Mum. Aunt handed Olaf 6 toy cars, 1 extra than the uncle. How many toy cars does Olaf hold in total, after receiving all these offerings?","Question: Olaf gathers vibrant toy automobiles. Initially, his assemblage consisted of 150 automobiles. His family, understanding his pastime, chose to present him some toy automobiles. Granddad gifted Olaf twice as many toy cars as the uncle did. Father gifted Olaf 10 toy cars, 5 fewer than Mother. Aunt gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf possess in total, after obtaining all these presents?","Question: Olaf amasses colorful toy vehicles. To begin with, his collection comprised of 150 vehicles. His family, aware of his hobby, decided to gift him some toy vehicles. Grandfather presented Olaf with twice as many toy cars as the uncle. Father presented Olaf with 10 toy cars, 5 less than Mum. Auntie presented Olaf with 6 toy cars, 1 more than the uncle. How many toy cars does Olaf own in total, after accepting all these gifts?","Question: Olaf accumulates bright toy motorcars. At first, his collection amounted to 150 motorcars. His family, cognizant of his leisure activity, decided to bestow upon him some toy motorcars. Grandpapa granted Olaf twice as many toy cars as the uncle. Papa granted Olaf 10 toy cars, 5 fewer than Mom. Aunty granted Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these handouts?","Question: Olaf collects vibrant toy machines. In the beginning, his assortment was made up of 150 machines. His family, recognising his hobby, decided to offer him some toy machines. Grandfather handed Olaf double the amount of toy cars the uncle did. Dad handed Olaf 10 toy cars, 5 fewer than Mum. Aunt handed Olaf 6 toy cars, 1 extra than the uncle. How many toy cars does Olaf hold in total, after receiving all these offerings?",A,B,A,D
"Marcy is a makeup artist and has agreed to do some makeup for her friend's wedding. The only makeup she has limited stock of is lip gloss so she counts how many tubes she needs. Each tube of lip gloss will hold enough lip gloss for 3 people's makeup. Marcy decides to bring 6 tubs of lip gloss, each of which holds 2 tubes of lip gloss, and this will be the exact amount she needs for everyone's makeup. How many people is Marcy painting with makeup?","Marcy is bringing 6 tubs of lip gloss * 2 tubes of lip gloss per tub of lip gloss = <<6*2=12>>12 tubes of lip gloss.
So she must be applying makeup to 12 tubes of lip gloss * 3 people per tube of lip gloss = <<12*3=36>>36 people.
#### 36","Question: Marcy is a makeup artist and has agreed to do some makeup for her friend's wedding. The only makeup she has limited stock of is lip gloss so she counts how many tubes she needs. Each tube of lip gloss will hold enough lip gloss for 3 people's makeup. Marcy decides to bring 6 tubs of lip gloss, each of which holds 2 tubes of lip gloss, and this will be the exact amount she needs for everyone's makeup. How many people is Marcy painting with makeup?","A)
Question: Marcy is a cosmetics artist and has consented to apply some makeup for her buddy's wedding. The only makeup she has scarce supply of is lip gloss so she tallies how many cylinders she needs. Each canister of lip gloss will hold enough lip gloss for 3 individuals' makeup. Marcy determines to carry 6 containers of lip gloss, each of which accommodates 2 canisters of lip gloss, and this will be the precise quantity she needs for everybody's makeup. How many people is Marcy decorating with makeup?

B)
Question: Marcy is a beauty artist and has concurred to conduct some makeup for her companion's wedding. The only makeup she possesses a limited quantity of is lip gloss so she calculates how many receptacles she requires. Each receptacle of lip gloss will contain enough lip gloss for 3 persons' makeup. Marcy chooses to transport 6 vessels of lip gloss, each of which contains 2 receptacles of lip gloss, and this will be the perfect amount she needs for all people's makeup. How many people is Marcy adorning with makeup?

C)
Question: Marcy is a beauty pro and has acceded to perform some makeup for her colleague's wedding. The only makeup she owns a scarce amount of is lip gloss so she computes how many containers she demands. Each pot of lip gloss will carry enough lip gloss for 3 beings' makeup. Marcy decides to deliver 6 pots of lip gloss, each of which hosts 2 containers of lip gloss, and this will be the accurate measure she needs for every being's makeup. How many beings is Marcy enhancing with makeup?

D)
Question: Marcy is a cosmetic professional and has assented to enact some makeup for her buddy's wedding. The only makeup she retains an inadequate amount of is lip gloss so she reckons how many vessels she necessitates. Each vessel of lip gloss will hold adequate lip gloss for 3 individuals' makeup. Marcy opts to transport 6 vessels of lip gloss, each of which retains 2 vessels of lip gloss, and this will be the exact measure she needs for all individuals' makeup. How many individuals is Marcy embellishing with makeup?","Question: Marcy is a cosmetics artist and has consented to apply some makeup for her buddy's wedding. The only makeup she has scarce supply of is lip gloss so she tallies how many cylinders she needs. Each canister of lip gloss will hold enough lip gloss for 3 individuals' makeup. Marcy determines to carry 6 containers of lip gloss, each of which accommodates 2 canisters of lip gloss, and this will be the precise quantity she needs for everybody's makeup. How many people is Marcy decorating with makeup?","Question: Marcy is a beauty artist and has concurred to conduct some makeup for her companion's wedding. The only makeup she possesses a limited quantity of is lip gloss so she calculates how many receptacles she requires. Each receptacle of lip gloss will contain enough lip gloss for 3 persons' makeup. Marcy chooses to transport 6 vessels of lip gloss, each of which contains 2 receptacles of lip gloss, and this will be the perfect amount she needs for all people's makeup. How many people is Marcy adorning with makeup?","Question: Marcy is a beauty pro and has acceded to perform some makeup for her colleague's wedding. The only makeup she owns a scarce amount of is lip gloss so she computes how many containers she demands. Each pot of lip gloss will carry enough lip gloss for 3 beings' makeup. Marcy decides to deliver 6 pots of lip gloss, each of which hosts 2 containers of lip gloss, and this will be the accurate measure she needs for every being's makeup. How many beings is Marcy enhancing with makeup?","Question: Marcy is a cosmetic professional and has assented to enact some makeup for her buddy's wedding. The only makeup she retains an inadequate amount of is lip gloss so she reckons how many vessels she necessitates. Each vessel of lip gloss will hold adequate lip gloss for 3 individuals' makeup. Marcy opts to transport 6 vessels of lip gloss, each of which retains 2 vessels of lip gloss, and this will be the exact measure she needs for all individuals' makeup. How many individuals is Marcy embellishing with makeup?",E,B,C,D
"Tony has two fish. Every year, his parents buy him two more, but one of them dies. How many fish will he have in five years?","Each year Tony has one more fish than before because 2 - 1 = <<2-1=1>>1
In five years, he will have 5 more fish because 5 x 1 = <<5*1=5>>5
In five years he will have 7 fish because 2 + 5 = <<2+5=7>>7
#### 7","Question: Tony has two fish. Every year, his parents buy him two more, but one of them dies. How many fish will he have in five years?","A)
Question: Tony possesses two fish. Every year, his parents purchase him two more, however one of them passes away. How many fish will he possess in five years?

B)
Question: Tony owns two fish. Every annum, his parents acquire him two more, but one of them perishes. How many fish will he own in five years?

C)
Question: Tony has a pair of fish. Each year, his parents gift him two more, yet one of them deceases. How many fish will be his in five years?

D)
Question: Tony holds two fish. Annually, his parents get him two more, although one of them expires. How many fish will be in his possession in five years?","Question: Tony possesses two fish. Every year, his parents purchase him two more, however one of them passes away. How many fish will he possess in five years?","Question: Tony owns two fish. Every annum, his parents acquire him two more, but one of them perishes. How many fish will he own in five years?","Question: Tony has a pair of fish. Each year, his parents gift him two more, yet one of them deceases. How many fish will be his in five years?","Question: Tony holds two fish. Annually, his parents get him two more, although one of them expires. How many fish will be in his possession in five years?",E,B,C,D
Nick is trying to raise money for a charity. He is selling candy bars for $5. He is also selling chocolate oranges for $10. He wants to raise $1000. He only had 20 chocolate oranges that he sold out. How many candy bars does Nick need to sell to reach his goal?,"Nick has made 20 * $10 = $<<20*10=200>>200 from the chocolate oranges.
This means he needs to raise another $1000 - $200 = $<<1000-200=800>>800.
He needs to sell a total of $800 / $5 = <<800/5=160>>160 candy bars to reach his goal.
#### 160",Question: Nick is trying to raise money for a charity. He is selling candy bars for $5. He is also selling chocolate oranges for $10. He wants to raise $1000. He only had 20 chocolate oranges that he sold out. How many candy bars does Nick need to sell to reach his goal?,"A)
Question: Nick is endeavoring to garner funds for a charitable organization. He is peddling candy treats for $5. He is also vending chocolate citrus for $10. He aspires to garner $1000. He only possessed 20 chocolate citrus that he sold completely. How many confectionery sticks does Nick need to vend to attain his objective?

B)
Question: Nick is endeavoring to amass capital for a benevolent cause. He is marketing confectionery delights for $5. He is also peddling chocolate globes for $10. He desires to gather $1000. He only obtained 20 chocolate globes that he disposed of completely. How many sweet bars does Nick need to market to reach his ambition?

C)
Question: Nick is striving to accumulate funds for a philanthropy. He is retailing sweet sticks for $5. He is also hawking chocolate citruses for $10. His aim is to accumulate $1000. He only had in possession 20 chocolate citruses which he vent off completely. How many candy bars does Nick need to hawk to achieve his aim?

D)
Question: Nick is making an effort to procure finance for a goodwill organization. He is trading lolly sticks for $5. He is also merchandising chocolate sphericals for $10. His target is to procure $1000. He only secured 20 chocolate sphericals which he sold out entirely. How many candy bars does Nick need to trade to hit his target?",Question: Nick is endeavoring to garner funds for a charitable organization. He is peddling candy treats for $5. He is also vending chocolate citrus for $10. He aspires to garner $1000. He only possessed 20 chocolate citrus that he sold completely. How many confectionery sticks does Nick need to vend to attain his objective?,Question: Nick is endeavoring to amass capital for a benevolent cause. He is marketing confectionery delights for $5. He is also peddling chocolate globes for $10. He desires to gather $1000. He only obtained 20 chocolate globes that he disposed of completely. How many sweet bars does Nick need to market to reach his ambition?,Question: Nick is striving to accumulate funds for a philanthropy. He is retailing sweet sticks for $5. He is also hawking chocolate citruses for $10. His aim is to accumulate $1000. He only had in possession 20 chocolate citruses which he vent off completely. How many candy bars does Nick need to hawk to achieve his aim?,Question: Nick is making an effort to procure finance for a goodwill organization. He is trading lolly sticks for $5. He is also merchandising chocolate sphericals for $10. His target is to procure $1000. He only secured 20 chocolate sphericals which he sold out entirely. How many candy bars does Nick need to trade to hit his target?,E,B,C,D
"Henry, John and Leo collected some seashells from the beach. Henry collected 11, Paul 24. If they initially collected 59 seashells in total and Leo gave a quarter of his collection to a younger kid they met, how many do they have in total now?","Henry and Paul collected a total of 11+24 = <<11+24=35>>35 seashells
To make a total of 59, Leo must have collected 59-35 = <<59-35=24>>24 seashells
He gave out a quarter of 24 seashells which is 24*(1/4) = <<24*(1/4)=6>>6 seashells
They are now left with 59-6 = <<59-6=53>>53 seashells
#### 53","Question: Henry, John and Leo collected some seashells from the beach. Henry collected 11, Paul 24. If they initially collected 59 seashells in total and Leo gave a quarter of his collection to a younger kid they met, how many do they have in total now?","A)
Question: Henry, John and Leo amassed some seashells from the shore. Henry amassed 11, Paul 24. If they originally amassed 59 seashells altogether and Leo donated a quarter of his assortment to a younger child they encountered, how many do they have altogether now?

B)
Question: Henry, John and Leo gathered some seashells from the coast. Henry gathered 11, Paul 24. If initially they gathered 59 seashells in total and Leo offered a quarter of his trove to a younger youngster they met, how many they own in total now?

C)
Question: Henry, John and Leo obtained some seashells from the beach. Henry obtained 11, Paul 24. If they at first harvested 59 seashells in sum and Leo presented a quarter of his hoard to a younger little one they bumped into, how many do they have in sum now?

D)
Question: Henry, John and Leo picked up some seashells from the beachside. Henry picked up 11, Paul 24. If initially they accumulated 59 seashells in total and Leo surrendered a quarter of his heap to a young juveniles they ran into, how many they possess in total now?","Question: Henry, John and Leo amassed some seashells from the shore. Henry amassed 11, Paul 24. If they originally amassed 59 seashells altogether and Leo donated a quarter of his assortment to a younger child they encountered, how many do they have altogether now?","Question: Henry, John and Leo gathered some seashells from the coast. Henry gathered 11, Paul 24. If initially they gathered 59 seashells in total and Leo offered a quarter of his trove to a younger youngster they met, how many they own in total now?","Question: Henry, John and Leo obtained some seashells from the beach. Henry obtained 11, Paul 24. If they at first harvested 59 seashells in sum and Leo presented a quarter of his hoard to a younger little one they bumped into, how many do they have in sum now?","Question: Henry, John and Leo picked up some seashells from the beachside. Henry picked up 11, Paul 24. If initially they accumulated 59 seashells in total and Leo surrendered a quarter of his heap to a young juveniles they ran into, how many they possess in total now?",E,E,E,E
